"0","1790","116","290","1980-05-14 13:00:34","2","false"
"1","202","74","200","1984-12-14 05:47:40","1","true"
"2","657","231","546","1977-11-11 10:46:26","2","false"
"3","1459","111","89","2010-03-03 07:54:40","1","true"
"4","1426","138","112","2016-04-06 14:42:26","4","true"
"5","399","352","186","1992-07-06 02:54:14","4","true"
"6","1691","287","545","2013-07-11 13:03:14","1","false"
"7","743","209","58","2000-06-20 21:48:09","1","true"
"8","713","439","57","1971-09-23 07:27:21","2","true"
"9","1903","85","103","2008-05-23 13:57:32","1","true"
"10","879","364","343","2019-05-24 11:57:46","2","true"
"11","1307","192","43","1985-07-12 08:43:29","2","false"
"12","1667","91","438","1985-04-26 05:17:15","1","false"
"13","1092","56","45","2021-06-19 16:01:05","3","false"
"14","1661","115","211","2014-09-01 11:53:17","2","false"
"15","704","149","104","1999-01-28 09:59:42","3","true"
"16","1480","266","286","1987-01-24 05:57:36","1","false"
"17","969","493","429","1976-03-14 04:55:30","3","true"
"18","1350","98","530","1983-09-01 19:28:45","4","true"
"19","1345","239","358","1973-07-07 10:47:05","3","false"
"20","873","376","183","1973-04-30 17:38:00","1","true"
"21","323","240","314","2004-04-25 01:14:35","4","false"
"22","1268","350","222","2018-07-06 09:50:55","2","true"
"23","344","18","490","1972-03-24 13:01:25","2","false"
"24","1222","406","313","2001-06-08 14:40:35","4","false"
"25","188","117","505","2016-07-08 18:19:39","1","true"
"26","1622","181","359","1995-01-18 07:00:55","1","true"
"27","533","173","86","2010-11-08 22:28:21","4","false"
"28","511","197","23","1989-02-08 08:30:38","2","true"
"29","1030","135","459","1980-05-01 14:47:09","2","false"
"30","916","415","454","1991-09-08 08:00:47","1","false"
"31","510","209","234","2007-08-08 04:15:36","1","true"
"32","1466","104","370","1972-07-10 00:30:40","1","false"
"33","1930","222","44","1983-05-18 20:44:57","4","false"
"34","334","440","1","1996-04-18 03:53:19","1","false"
"35","1945","193","112","1998-02-14 02:01:16","3","true"
"36","1034","338","297","1997-09-08 17:38:01","2","true"
"37","1067","12","131","1973-01-18 15:47:56","4","true"
"38","86","338","42","2006-03-14 03:07:52","2","true"
"39","742","20","10","1984-02-13 01:41:28","2","true"
"40","1904","498","413","2008-10-26 14:36:09","2","false"
"41","193","425","330","1975-06-08 15:57:03","2","false"
"42","1863","416","199","1972-06-10 05:25:45","4","true"
"43","913","79","439","1996-08-09 12:04:46","4","true"
"44","1110","271","197","2006-03-30 19:34:42","1","false"
"45","822","170","187","1993-11-15 16:01:10","4","false"
"46","180","272","219","1976-07-26 10:34:36","2","false"
"47","323","240","511","1992-09-16 01:48:33","2","true"
"48","1264","179","140","1988-12-10 23:07:50","2","false"
"49","1907","286","452","1981-05-20 03:51:56","4","false"
"50","713","439","104","2021-01-23 13:02:01","4","true"
"51","1540","118","456","1973-10-15 06:58:41","2","false"
"52","870","347","406","1993-05-24 16:10:36","4","false"
"53","1655","247","269","1988-04-18 01:57:28","3","false"
"54","1922","17","98","2009-09-01 00:48:01","1","true"
"55","913","79","529","2015-06-07 19:38:27","2","true"
"56","81","101","390","2002-04-28 15:50:22","1","false"
"57","1187","216","477","1977-08-10 11:16:10","3","false"
"58","1423","9","101","2013-01-28 15:26:32","2","true"
"59","596","397","477","2003-09-11 07:18:16","4","false"
"60","817","158","214","2015-01-07 05:05:39","1","true"
"61","636","228","311","1983-08-23 17:35:58","1","true"
"62","972","149","360","2020-09-27 08:25:35","1","true"
"63","997","307","333","2006-06-28 12:37:20","1","false"
"64","1253","256","88","1996-09-04 09:58:20","2","false"
"65","1598","291","293","1982-09-22 06:39:22","2","false"
"66","1812","130","196","1982-03-18 08:00:14","4","false"
"67","212","243","283","1996-03-02 21:23:05","2","false"
"68","1961","214","107","2005-09-22 04:20:11","1","false"
"69","82","468","105","1987-11-13 02:51:57","4","false"
"70","1269","67","143","1982-05-08 07:44:24","1","false"
